"Data Source","World Development Indicators",

"Last Updated Date","2015-09-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.029310471165824","","","2.13878445335259","3.60598593665485","3.98141538029422","6.16435217012695","13.4825401105568","16.5092782143565","57.0542769177772","65.0560555818727","72.1043137659125","99.6425026837617","103.384950665294","108.132500247942","112.218061826337","119.203899589517","126.210337415449","129.728240007087","","131.856540084388","134.873823012117","135.065889336853","",
"Aruba","ABW","Fixed telephone subscriptions","IT.MLT.MAIN","","","","","","","","","","","","","","","","","","","","","","","9000","10000","11000","12000","13055","13887","15718","17469","18712","19000","20400","21000","21500","27300","33576","33220","35064","36557","38100","37132","37132","37390","38003","38259","38651","38609","38461","36700","35040","","36000","35000","35000","",
"Aruba","ABW","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","","","","","","","","","","","","","","","","","","14.6713615023474","16.0761365828564","17.507281437507","19.0391571999746","20.8399846753081","22.4581547667179","25.7347282937931","28.6226897365317","30.1087726073245","29.4012967519304","29.8966805891405","28.9663163121741","28.0312907431552","33.986504992157","40.358194603041","38.8779009210388","40.1759934002475","41.0734349018022","41.9335666644654","39.9724417077529","39.088373072267","38.5404318919755","38.4871685807458","38.2471433855505","38.3328374491719","38.1440243432557","37.9509393748027","36.1868701808358","34.489207358485","","35.1617440225035","34.0099697797126","33.8389844437354","",
"Aruba","ABW","Fixed (wired) broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1399","6963","12274","13953","15996","18396","18800","19217","","","19200","19200","",
"Aruba","ABW","Fixed (wired) broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44204504458073","7.05171051832047","12.2701962391659","13.8381434096995","15.8033570772286","18.1520366277234","","","","","18.656897707728","","",
"Aruba","ABW","Secure Internet servers","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","5","15","29","36","39","42","38","37","51","32","29","35","",
"Aruba","ABW","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.2948737270437","","51.5384218935216","151.911040894452","289.910127860363","357.036596251116","385.306961212433","414.438238834837","374.694328311115","364.183981810487","500.313922461152","312.521363765101","281.769512538743","338.357131118222","",
"Aruba","ABW","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","2.76838266270266","","","4.50617909808825","15.4428229480349","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","",
"Aruba","ABW","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91.3","91.6","91.9","92.3","92.6","92.9","93.2","93.6","93.9","94.2","94.5","94.9","95.2","95.5","95.8","96.2","96.5","96.8","97.1","97.4","97.8","98.1","98.1","98.1","98.1",
"Aruba","ABW","Improved water source, urban (% of urban population with access)","SH.H2O.SAFE.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91.3","91.6","91.9","92.3","92.6","92.9","93.2","93.6","93.9","94.2","94.5","94.9","95.2","95.5","95.8","96.2","96.5","96.8","97.1","97.4","97.8","98.1","98.1","98.1","98.1",
"Aruba","ABW","Improved water source (% of population with access)","SH.H2O.SAFE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","91.3","91.6","91.9","92.3","92.6","92.9","93.2","93.6","93.9","94.2","94.5","94.9","95.2","95.5","95.8","96.2","96.5","96.8","97.1","97.4","97.8","98.1","98.1","98.1","98.1",
"Aruba","ABW","ICT goods imports (% total goods imports)","TM.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.8390706383","4.7649451407","4.6279075031","4.4207856036","5.2686588352","","",
"Aruba","ABW","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5097531455","0.4044306018","0.4195834698","0.7137911937","0.4125332385","","",
"Andorra","AND","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Electricity production from oil sources (% of total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","","","","","0.3156","0.3156","","",
"Andorra","AND","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","20525.494276795","","","","","15205.9744639846","","","","","11735.8322177599","","","","","9631.05373981507","","","","","8069.13479239108","","","","","6512.85649428371","","","","","5357.87043324732","","","","","4919.94949101283","","","","","4442.19238240014","","","","","3718.27799901034","","","","","3979.02062635534","4157.99320176017","","",
"Andorra","AND","Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)","IQ.WEF.PORT.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Mobile cellular subscriptions","IT.CEL.SETS","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","770","780","784","2825","5488","8618","14117","20600","23543","29429","32790","51893","58366","64560","69004","63503","64202","64549","65495","65044","63865","63931","66241","",
"Andorra","AND","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.30721173434741","1.2786256413619","1.25025914172261","4.42415510383061","8.53844478327162","13.446715556249","22.1273060706281","32.1453092815679","35.9990213917644","43.2779411764706","45.771158168037","68.6025144428434","73.8249430812042","79.4848749738375","84.2776359661443","78.1171578999164","80.2836098988358","82.0618111087097","84.0681838602436","83.5343222243627","81.5020418580909","80.7026180918478","82.6431948897733","",
"Andorra","AND","Fixed telephone subscriptions","IT.MLT.MAIN","","","","","","500","","","","","1890","","","","","3857","4174","4713","5543","6329","7026","8944","10385","12000","13000","14000","15588","16885","17911","19427","21502","23416","25302","26760","28362","29795","30964","31980","32946","33607","34215","34505","34922","35171","35040","35444","36507","37153","37375","37882","38171","38401","38320","38572","38237","",
"Andorra","AND","Fixed telephone subscriptions (per 100 people)","IT.MLT.MAIN.P2","","","","","","2.69527249204895","","","","","7.7845051278883","","","","","12.561062984433","13.1336333029168","14.3824956513778","16.4256504474604","18.1768574628795","19.4825721653773","23.8493946989494","26.5519533646963","29.3671381723851","30.4421131509929","31.3922461152095","33.5117703966462","34.8446077015147","35.5158533441732","37.0397910351008","39.445249582653","41.3170060345132","42.9546380551406","43.8666950805698","45.22940022645","46.6611332101356","48.1750007779195","49.8985801217039","51.6403078418157","52.442107234255","52.3173137203933","50.7426470588235","48.747190775974","46.4960406118213","44.3207690361751","43.6378858205188","44.5876131270076","45.7031442208335","46.7368605334567","48.1597782834768","48.9955973147471","49.3174083349387","48.9025012761613","48.6909540760938","47.7050141604182","",
"Andorra","AND","Fixed (wired) broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1148","3601","6282","10341","14616","18526","20672","22941","24502","25763","26905","27734","28770","",
"Andorra","AND","Fixed (wired) broadband subscriptions (per 100 people)","IT.NET.BBND.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.60247909658147","4.76051981016089","7.94586390083481","12.7316154291272","17.851166994394","22.7894503764208","25.8500168815416","29.1651305000064","31.450318970054","33.086752713029","34.3351199591628","35.0097200131283","35.8938530061258","",
"Andorra","AND","Secure Internet servers","IT.NET.SECR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","17","24","34","35","37","53","66","78","89","71","51","64","",
"Andorra","AND","Secure Internet servers (per 1 million people)","IT.NET.SECR.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118.046333185775","","227.324391907252","306.36863806375","418.600642675104","419.800175116644","435.9197907585","619.043169501028","772.164634859723","923.962615051114","1081.06794937201","895.153562963337","671.919053516376","879.289973346523","",
"Andorra","AND","Internet users (per 100 people)","IT.NET.USER.P2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","1.52660102282269","3.05017538508464","6.88620921833874","7.63568614275679","10.53883560922","","11.2604687170103","13.546412876439","26.8379543894637","37.6057662174867","48.9368469989479","70.87","70.04","78.53","81","81","86.4344246167258","94","95.9","",
"Andorra","AND","Improved water source, rural (% of rural population with access)","SH.H2O.SAFE.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Andorra","AND","Improved water source, urban (% of urban population with access)","SH.H2O.SAFE.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Andorra","AND","Improved water source (% of population with access)","SH.H2O.SAFE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100",
"Andorra","AND","ICT goods imports (% total goods imports)","TM.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8143052033","10.6289453181","11.8974439649","12.2232493893","14.0465241463","","","","","","","","","","","",
"Andorra","AND","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.0681032688","7.7942208804","8.6598007323","14.1744078333","25.682673576","18.8476336007","11.3391886678","","","","","","","","","",
"Afghanistan","AFG","ICT service exports (BoP, current US$)","BX.GSR.CCIS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361576461.4","682782895.4","1178783829.2","1573084342","1578248972.57","1949169173.1","","",
"Afghanistan","AFG","ICT service exports (% of service exports, BoP)","BX.GSR.CCIS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.6308964845154","36.0475017093929","37.5345701444869","45.2556988069486","51.6373916253587","65.850404628724","","",
"Afghanistan","AFG","Electricity production from coal sources (% of total)","EG.ELC.COAL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electric power transmission and distribution losses (% of output)","EG.ELC.LOSS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from oil sources (% of total)","EG.ELC.PETR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electric power consumption (kWh per capita)","EG.USE.ELEC.KH.PC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","","","","","","","","","","","","","","98.62","","","","","","","","","","","98.62","","",
"Afghanistan","AFG","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","0.7604","","","","","","","","","","","0.7604","","",
"Afghanistan","AFG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","0.6336","","","","","","","","","","","0.6336","","",
"Afghanistan","AFG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","10.7","","","","","","","","","","26.11","","","","","","","","","","","","","","","20.28","","","","","","","","","","","20.28","","",
"Afghanistan","AFG","Annual freshwater withdrawals, total (% of internal resources)","ER.H2O.FWTL.ZS","","","","","","","","","","","","","","","","","","22.6935312831389","","","","","","","","","","55.3764581124072","","","","","","","","","","","","","","","43.0116648992577","","","","","","","","","","","43.0116648992577","","",
"Afghanistan","AFG","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","","","","","47.15","47.15","","",
"Afghanistan","AFG","Renewable internal freshwater resources per capita (cubic meters)","ER.H2O.INTR.PC","","","5046.14196493664","","","","","4547.38344617403","","","","","4024.10331200345","","","","","3611.22840050767","","","","","3722.27017271097","","","","","4158.60670182181","","","","","3430.18108300602","","","","","2614.48708643001","","","","","2194.34200432734","","","","","1822.04308105901","","","","","1586.1106894004","1536.70659170537","","",
"Afghanistan","AFG","Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)","IQ.WEF.PORT.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4000","4700","4800","3700","4300","4700","4500","4900","4800","4900","4200","4200","5400","5700","6200","6400","5800","6000","5900","5200","5300","5300","5300","5100","7000","7300","7500","4600","1900","3400","3409","","","","","","","","","","21677","25021","17775","21697.3068183692","25389.3767873784","",
"Afghanistan","AFG","Air transport, freight (million ton-km)","IS.AIR.GOOD.MT.K1","","","","","","","","","","","7.5999999046","2.0999999046","0.8000000119","1.1000000238","13.3000001907","10.5","12.8999996185","13.8999996185","12.8999996185","19.1000003815","21.3999996185","19.3999996185","18.2999992371","11.3999996185","19.7999992371","19.8999996185","7.5","8.1000003815","8.8000001907","11.5","9.3999996185","8.3999996185","8.3999996185","6.6999998093","12.3000001907","12.8999996185","13.5","35.4000015259","15","7.4000000954","7.813","","","","","","","","","","108.019487128","109.421117469991","116.660723422675","84.6212210871876","71.9056669106518","",
"Afghanistan","AFG","Air transport, passengers carried","IS.AIR.PSGR","","","","","","","","","","","84700","97400","104900","96600","96100","99000","101700","111200","100400","93000","76200","129100","181000","200200","220400","225500","184400","217900","201000","220000","241400","212300","212300","197000","238400","250400","255600","89600","52700","140200","149705","","","","","","","","","","1999127","2279341.17952861","1737962.12640656","2044194.20371711","2144208.87270972","",
"Afghanistan","AFG","Railways, goods transported (million ton-km)","IS.RRS.GOOD.MT.K6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Railways, passengers carried (million passenger-km)","IS.RRS.PASG.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Rail lines (total route-km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Liner shipping connectivity index (maximum value in 2004 = 100)","IS.SHP.GCNW.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Container port traffic (TEU: 20 foot equivalent units)","IS.SHP.GOOD.TU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
